mode,cpu,size,result_us
baseline,0,1M,ERR
baseline,0,1M,ERR
baseline,0,1M,ERR
baseline,0,1M,ERR
baseline,0,1M,ERR
baseline,0,2M,ERR
baseline,0,2M,ERR
baseline,0,2M,ERR
baseline,0,2M,ERR
baseline,0,2M,ERR
baseline,0,4M,ERR
baseline,0,4M,ERR
baseline,0,4M,ERR
baseline,0,4M,ERR
baseline,0,4M,ERR
baseline,0,8M,ERR
baseline,0,8M,ERR
baseline,0,8M,ERR
baseline,0,8M,ERR
baseline,0,8M,ERR
baseline,0,16M,ERR
baseline,0,16M,ERR
baseline,0,16M,ERR
baseline,0,16M,ERR
baseline,0,16M,ERR
baseline,0,32M,ERR
baseline,0,32M,ERR
baseline,0,32M,ERR
baseline,0,32M,ERR
baseline,0,32M,ERR
baseline,0,64M,ERR
baseline,0,64M,ERR
baseline,0,64M,ERR
baseline,0,64M,ERR
baseline,0,64M,ERR
high_ca,1,1M,ERR
high_ca,1,1M,ERR
high_ca,1,1M,ERR
high_ca,1,1M,ERR
high_ca,1,1M,ERR
high_ca,1,2M,ERR
high_ca,1,2M,ERR
high_ca,1,2M,ERR
high_ca,1,2M,ERR
high_ca,1,2M,ERR
high_ca,1,4M,ERR
high_ca,1,4M,ERR
high_ca,1,4M,ERR
high_ca,1,4M,ERR
high_ca,1,4M,ERR
high_ca,1,8M,ERR
high_ca,1,8M,ERR
high_ca,1,8M,ERR
high_ca,1,8M,ERR
high_ca,1,8M,ERR
high_ca,1,16M,ERR
high_ca,1,16M,ERR
high_ca,1,16M,ERR
high_ca,1,16M,ERR
high_ca,1,16M,ERR
high_ca,1,32M,ERR
high_ca,1,32M,ERR
high_ca,1,32M,ERR
high_ca,1,32M,ERR
high_ca,1,32M,ERR
high_ca,1,64M,ERR
high_ca,1,64M,ERR
high_ca,1,64M,ERR
high_ca,1,64M,ERR
high_ca,1,64M,ERR
low_ca,2,1M,ERR
low_ca,2,1M,ERR
low_ca,2,1M,ERR
low_ca,2,1M,ERR
low_ca,2,1M,ERR
low_ca,2,2M,ERR
low_ca,2,2M,ERR
low_ca,2,2M,ERR
low_ca,2,2M,ERR
low_ca,2,2M,ERR
low_ca,2,4M,ERR
low_ca,2,4M,ERR
low_ca,2,4M,ERR
low_ca,2,4M,ERR
low_ca,2,4M,ERR
low_ca,2,8M,ERR
low_ca,2,8M,ERR
low_ca,2,8M,ERR
low_ca,2,8M,ERR
low_ca,2,8M,ERR
low_ca,2,16M,ERR
low_ca,2,16M,ERR
low_ca,2,16M,ERR
low_ca,2,16M,ERR
low_ca,2,16M,ERR
low_ca,2,32M,ERR
low_ca,2,32M,ERR
low_ca,2,32M,ERR
low_ca,2,32M,ERR
low_ca,2,32M,ERR
low_ca,2,64M,ERR
low_ca,2,64M,ERR
low_ca,2,64M,ERR
low_ca,2,64M,ERR
low_ca,2,64M,ERR
