threads,perf_high_affinity,perf_low_affinity
2,22530.8,22532.9
3,18303.7,22119.9
4,18348.5,22811.1
5,18419.0,22290.4
6,18777.7,21430.5
7,18868.1,23512.9
8,19272.3,22321.5
9,18907.8,23360.1
10,19242.9,22390.0
11,18504.3,22802.9
12,18850.1,23389.4
13,18905.0,22573.3
14,19318.9,22429.9
15,19292.7,22421.4
16,18983.0,23453.7
17,18958.7,21770.7
18,19242.9,23246.8
19,18779.4,22307.2
20,18972.3,23319.0
21,19234.0,22409.0
22,19266.1,22495.1
23,18973.7,23364.4
24,19109.9,23323.3
25,18844.5,22461.5
26,19270.9,21933.9
27,19069.0,21812.2
28,19253.9,22020.2
29,18985.9,21752.8
30,19241.4,23057.2
31,18987.3,23024.0
32,18869.2,22269.7
