threads,perf_high_affinity,perf_low_affinity
2,30918.6,30692.4
3,25571.1,31001.5
4,24921.6,31341.7
5,26134.8,29553.0
6,26259.5,29568.6
7,25539.0,29117.0
8,22743.4,29744.2
9,25965.9,28922.5
10,22453.4,31188.8
11,24367.8,32580.3
12,24829.4,31391.6
13,25969.9,31183.0
14,26066.8,33009.8
15,26490.7,32025.2
16,25332.7,31067.5
17,26062.7,32605.6
18,26837.1,30864.6
19,26320.3,33668.9
20,27008.8,31923.2
21,26419.8,32645.3
22,26922.2,33869.4
23,25448.9,31496.2
24,26850.0,31701.5
25,26093.1,32713.7
26,25756.6,32888.4
27,26662.2,32780.8
28,27211.4,33529.3
29,25469.2,32382.2
30,27054.6,32322.9
31,25694.5,29974.0
32,26105.3,32605.6
