threads,perf_high_affinity,perf_low_affinity
2,19029.3,19453.0
3,16476.1,18720.4
4,17206.1,19692.1
5,16645.7,20045.1
6,17417.8,19072.1
7,17044.8,19370.4
8,17208.3,18948.2
9,16934.7,19129.1
10,16811.7,19831.2
11,17528.3,17695.2
12,16875.9,18689.1
13,17306.8,18869.9
14,17230.4,18620.1
15,16771.3,19095.4
16,16773.4,18669.9
17,16979.7,18237.6
18,17271.2,18026.4
19,17319.8,19689.8
20,17237.9,19888.2
21,17105.2,19295.2
22,17355.1,20237.9
23,17291.6,19826.5
24,17512.8,19696.8
25,16762.5,19342.0
26,17066.9,19307.5
27,16804.9,18371.9
28,17470.8,19027.2
29,17385.7,19809.6
30,16781.8,19445.6
31,16588.9,17762.1
32,17297.0,17679.3
