threads,perf_high_affinity,perf_low_affinity
2,21104.3,22450.9
3,17957.3,22628.6
4,18444.3,21822.1
5,18859.3,22189.1
6,19336.4,23083.7
7,18640.7,22635.2
8,18890.1,22344.3
9,18780.8,22282.0
10,19149.5,22988.3
11,18925.9,23339.5
12,18984.5,22607.2
13,19183.1,23226.4
14,18798.4,22317.1
15,19218.6,21976.0
16,19220.1,23134.6
17,19324.9,22234.7
18,18973.7,22302.7
19,19108.1,20843.9
20,18779.4,22292.3
21,19017.5,22835.5
22,19393.8,22837.5
23,19326.7,22115.5
24,18501.6,21725.1
25,18879.8,22746.7
26,19414.3,22671.4
27,18872.4,22905.1
28,18897.5,22703.6
29,19074.8,22539.4
30,19333.0,23050.4
31,19198.5,21980.3
32,17934.6,22134.5
