threads,perf_high_affinity,perf_low_affinity
2,19011.5,19505.0
3,18834.9,19306.9
4,19111.2,19472.2
5,19122.6,19490.3
6,18557.3,19405.7
7,18371.9,19277.0
8,18312.7,19129.7
9,17505.4,19129.7
10,17961.3,18965.9
11,18248.5,19311.9
12,18317.2,19298.0
13,18373.9,19552.7
14,18409.7,19370.4
15,18458.8,19263.1
16,18420.3,19393.4
17,18382.5,19552.7
18,18422.3,19372.7
19,18548.6,19321.4
20,18346.3,19420.3
21,18248.0,19402.9
22,18435.5,19495.4
23,18405.7,19300.2
24,18430.9,19478.9
25,18367.4,19469.9
26,18208.4,19235.5
27,18316.7,19333.0
28,18422.3,19263.1
29,18428.9,19403.5
30,18348.8,19372.7
31,18533.8,19393.9
32,18266.9,19464.8
