threads,perf_high_affinity,perf_low_affinity,perf_high_affinity_hit_rate,perf_low_affinity_hit_rate
2,23317.199999999997,23304.4,0.9457559553634403,0.9541653453034775
4,23168.05,23865.2,0.9476076774380799,0.9422501593207766
6,23355.0,23914.25,0.9479953964818043,0.9464709191850098
8,22930.25,23339.65,0.9480852452456342,0.9464712680747698
10,23028.5,23228.5,0.9480943959254815,0.9470163139647853
12,23144.75,23411.949999999997,0.9478086092523978,0.9448008762465185
14,22805.7,23382.0,0.9477310067274021,0.9451237793772945
16,22928.1,23453.2,0.9483373214743466,0.9437907127749557
18,23017.7,23137.3,0.9479016843344609,0.9445374445478624
20,21948.4,22831.800000000003,0.9465609778083318,0.9384550844399737
22,21958.6,22984.25,0.9470712476252166,0.939754813544629
24,21483.0,22424.15,0.9466439270573523,0.9423801759129594
26,21530.0,22718.4,0.9465982389943604,0.9457853253142683
28,21646.55,23062.25,0.9467835938056055,0.9422423154198301
30,21903.25,22923.15,0.9465714767189978,0.9443003767446041
32,21773.0,22797.5,0.9467729151408095,0.9460912442655651
